Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2018-10-05,7399.01,0.0,0.0,0.0,0.0
2018-10-04,7490.0,0.0,0.0,0.0,0.0
2018-10-03,7637.43,0.0,0.0,0.0,0.0
2018-10-02,7628.28,0.0,0.0,0.0,0.0
2018-10-01,7645.45,0.0,0.0,0.0,0.0
2018-09-28,7627.65,0.0,0.0,0.0,0.0
2018-09-27,7629.57,0.0,0.0,0.0,0.0
2018-09-26,7563.09,0.0,0.0,0.0,0.0
2018-09-25,7563.19,0.0,0.0,0.0,0.0
2018-09-24,7548.75,0.0,0.0,0.0,0.0
2018-09-21,7531.07,0.0,0.0,0.0,0.0
2018-09-20,7569.03,0.0,0.0,0.0,0.0
2018-09-19,7490.32,0.0,0.0,0.0,0.0
2018-09-18,7494.4,0.0,0.0,0.0,0.0
2018-09-17,7434.73,0.0,0.0,0.0,0.0
2018-09-14,7545.5,0.0,0.0,0.0,0.0
2018-09-13,7561.69,0.0,0.0,0.0,0.0
2018-09-12,7488.06,0.0,0.0,0.0,0.0
2018-09-11,7507.87,0.0,0.0,0.0,0.0
2018-09-10,7447.68,0.0,0.0,0.0,0.0
2018-09-07,7430.26,0.0,0.0,0.0,0.0
2018-09-06,7453.17,0.0,0.0,0.0,0.0
2018-09-05,7523.26,0.0,0.0,0.0,0.0
2018-09-04,7622.32,0.0,0.0,0.0,0.0
2018-08-31,7654.55,0.0,0.0,0.0,0.0
2018-08-30,7642.67,0.0,0.0,0.0,0.0
2018-08-29,7660.18,0.0,0.0,0.0,0.0
2018-08-28,7570.25,0.0,0.0,0.0,0.0
2018-08-27,7559.13,0.0,0.0,0.0,0.0
2018-08-24,7485.4,0.0,0.0,0.0,0.0
2018-08-23,7413.84,0.0,0.0,0.0,0.0
2018-08-22,7424.6,0.0,0.0,0.0,0.0
2018-08-21,7397.23,0.0,0.0,0.0,0.0
2018-08-20,7371.42,0.0,0.0,0.0,0.0
2018-08-17,7377.54,0.0,0.0,0.0,0.0
